記録の分類_タイプ産地or標本記録or文献記録or疑わしいかどうか,和名,学名,Latitude_assumed,Longitude_assumed,日付,都道府県_jp,島_jp,文献ID,掲載ページ,文献中の和名,文献中で有効とされる学名_文献紹介など、その文献中で有効とされる学名がわからない場合はハイフンを記入してください。,場所（原文ママ）
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.383771,140.100308,1999-XII-04,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩瀬町富谷，富谷観音（標高220 m 地点）
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.383456,140.100147,1999-VI-26,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩瀬町富谷，富谷観音（標高200 m 地点）
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.36875614,140.1185637,1999-VI-26,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩瀬町平沢
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.38897953,140.11951,1999-VI-26,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩瀬町富谷，入野
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.38316389,140.1785694,1999-VI-26,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩瀬町山口，入新田
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.1839243,140.5199483,1998-X-24,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),鉾田町徳宿，徳宿城跡
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.2929961,140.2417652,1998-X-24,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩間町上郷駒場，滝不動尊
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.3425,140.2655583,1999-VI-26,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),笠間市川向
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.42445205,140.2799806,1999-XII-04,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),笠間市飯田，笠間ダム大岩橋上
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.4232181,140.3674449,1999-XII-04,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),水戸市成沢町，水戸市森林公園
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.27312222,140.2494778,1998-X-24,茨城県,本州,L00649,364,ノコギリヤスデ属の1種 (I),Prionomatis sp. (I),八郷町真家
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.44466788,140.2138513,1997-IX-07,茨城県,本州,L00649,364,フトケヤスデ,Diplomaragna takakuwai,七会村上赤沢
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.46926434,140.2747784,1999-XII-04,茨城県,本州,L00649,364,フトケヤスデ,Diplomaragna takakuwai,七会村小勝
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.54406389,140.3321361,1997-IX-07,茨城県,本州,L00649,364,フトケヤスデ,Diplomaragna takakuwai,桂村皇都
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.2892783,140.4438022,1997-XI-15,茨城県,本州,L00649,364,フトケヤスデ,Diplomaragna takakuwai,茨城町谷田部
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.23938611,140.5047361,1997-XI-15,茨城県,本州,L00649,364,フトケヤスデ,Diplomaragna takakuwai,旭村下鹿田
7_疑わしい文献記録,フトケヤスデ,Tokyosoma takakuwai,36.27312222,140.2494778,1998-X-24,茨城県,本州,L00649,364,フトケヤスデ,Diplomaragna takakuwai,八郷町真家
