Lnumber,LID_CSV,LitList
1210,L00614,"篠原 圭三郎 (1981) 都市近郊における多足類被害について. 衛生動物, 32(3): 249–250."
1211,L00616,"篠原 圭三郎 (1981) 日本産<i>Anopsobiiae</i>亜科の新属. 動物分類学会会報, 54: 12–13."
1212,L00617,"篠原 圭三郎 (1981) 日本産<i>Strigamia</i>属（唇足類：ツチムカデ科）の2新種. Acta Arachnologica, 30(1): 41–48."
1213,L00615,"篠原 圭三郎 (1981) 那須御用邸の多足類. Edaphologia, (24): 51–53."
1214,L00377,"篠原 圭三郎 (1981) セスジアカムカデの初期変態. Atypus, (79): 30."
1215,L00765,"篠原 圭三郎 (1982) 日本産多足類の学名の検討 II. 属を変更すべきジムカデの2種. Takakuwaia, (14): 1–2."
1216,L00766,"篠原 圭三郎 (1982) 日本産多足類の学名の検討 III. 19世紀に記録・記載された日本産唇足類3種の分類学的な帰属. Takakuwaia, (14): 3–4."
1217,L00767,"篠原 圭三郎 (1982) 東亜産多足類文献目録 第38集. Takakuwaia, (14): 5–7."
1218,L00378,"篠原 圭三郎 (1982) ムカデの和名の整理. Atypus, (80): 25–28."
1219,L00619,"篠原 圭三郎 (1982) メクライシムカデ亜科（トゲイシムカデ科）の新属. 動物分類学会誌, (24): 41–46."
1220,L00618,"篠原 圭三郎 (1982) 日本産ヤスデの1種 <i>Oxyurus flavolimbatus</i>について. 動物分類学会誌, (24): 60."
1221,L00768,"篠原 圭三郎 (1983) 日本産多足類の学名の検討 IV. 日本産<i>Fontaria</i>属の種のゆくえ. Takakuwaia, (15): 1–4."
1222,L00769,"篠原 圭三郎 (1983) 日本産多足類の学名の検討 V. <i>Dicellophilus pulcher</i> (Kishida) について. Takakuwaia, (15): 5–6."
1223,L00770,"篠原 圭三郎 (1983) 東亜産多足類文献目録 第39集. Takakuwaia, (15): 6–8."
1224,L01289,"篠原 圭三郎 (1983) 磯の虫たちの思い出. インセクタリウム, 20(3): 58."
1225,L01319,"篠原 圭三郎 (1983) キシャヤスデ類の分類と分布. 日本生態学会大会講演要旨集, (30): 263."
1226,L00776,"篠原 圭三郎 (1984) 東亜産多足類文献目録 第40集. Takakuwaia, (16): 8–9."
1227,L00777,"篠原 圭三郎 (1984) 中国の多足類研究の近著. Takakuwaia, (16): 9–10."
1228,L00620,"篠原 圭三郎 (1984) 日本産アカムカデ属の2新種. Edaphologia, (31): 39–42."
1229,L01147,"篠原 圭三郎 (1984) アテムス以前記載の日本産多足類の種はどこまで解決したか. Atypus, (85): 91–92."
1230,L00919,"篠原 圭三郎 (1984) 房総半島の多足類相の特色. 千葉生物誌, 34(1): 1–2."
1231,L00778,"篠原 圭三郎 (1985) 日本産多足類の学名の検討 VII. 日本産ゲジ類の研究史と種名. Takakuwaia, (17): 1–2."
1232,L00779,"篠原 圭三郎 (1985) 日本産多足類の学名の検討 VIII. <i>Oxyurus flavolimbatus</i> L. Koch, 1878について. Takakuwaia, (17): 3–5."
1233,L00780,"篠原 圭三郎 (1985) 東亜産多足類文献目録 第41集. Takakuwaia, (17): 6–7."
1234,L01207,"篠原 圭三郎 (1985) ヤスデ類・ムカデ類. p. 241–244. In: 「房総の生物」編集委員会. 房総の生物. 河出書房新社, 東京. 292 pp."
1235,L00561,"篠原 圭三郎 (1985) 多足類の簡易検索図解の作成. 都生研会誌, (21): 7–8."
1236,L00781,"篠原 圭三郎 (1986) 日本産多足類の学名の検討 IX. <i>Pleurogeophilus procerus</i>と<i>P. takakuwai</i>. Takakuwaia, (18): 1–2."
1237,L00782,"篠原 圭三郎 (1986) 日本産多足類の学名の検討 X. <i>Lithobius Holstii</i> Pocockについて. Takakuwaia, (18): 3–5."
1238,L00783,"篠原 圭三郎 (1986) 東亜産多足類文献目録 第42集. Takakuwaia, (18): 6–8."
1239,L01148,"篠原 圭三郎 (1986) イッスンムカデ属の分類. Atypus, (87): 27."
1240,L00137,"篠原 圭三郎 (1986) 日本産ババヤスデ属の5新種. Acta Arachnologica, 35(1): 1–9."
1241,L01149,"篠原 圭三郎 (1987) <i>Nipponobius</i>属の分類学的位置について. Atypus, (89): 39."
1242,L00562,"篠原 圭三郎 (1987) ヒトフシムカデ属（イシムカデ科）の1新種. Edaphologia, (36): 21–23."
1243,L00784,"篠原 圭三郎 (1987) 日本産多足類の学名の検討 XI. キシャヤスデ類の研究史と種名, 同定記録の整理. Takakuwaia, (19): 1–4."
1244,L00785,"篠原 圭三郎 (1987) 東亜産多足類文献目録 第43集. Takakuwaia, (19): 5–7."
1245,L00786,"篠原 圭三郎 (1988) 日本産多足類の学名の検討 XII. <i>Scolopendra</i>属の<i>damnosa</i>と<i>multidens</i>. Takakuwaia, (20): 1–3."
1246,L00790,"篠原 圭三郎 (1988) CIMこの10年(1978–1987). Takakuwaia, (20): 12–13."
1247,L00791,"篠原 圭三郎 (1988) 東亜産多足類文献目録 第44集. Takakuwaia, (20): 14–15."
1248,L00918,"篠原 圭三郎 (1988) 百年間埋もれている長崎の幻のヤスデ. 長崎県生物学会誌, (33): 19."
1249,L00380,"篠原 圭三郎 (1989) 列車運転を妨害したヤスデの種の再検討. Atypus, (93): 16–19."
1250,L00792,"篠原 圭三郎 (1989) 日本産多足類の学名の検討 XIII. <i>Thalthybius</i>と<i>Ithyphilus</i>. Takakuwaia, (21): 1–2."
1251,L00795,"篠原 圭三郎 (1989) 多足類ミセラニイ (1) ヤケヤスデ. Takakuwaia, (21): 7–9."
1252,L00796,"篠原 圭三郎 (1989) 東亜産多足類文献目録 第45集. Takakuwaia, (21): 10–11."
1253,L00379,"篠原 圭三郎 (1989) 多足類分野における L. Koch 著 ”Jap. Arach. Myr.” の発行年についての取扱い. Atypus, (94): 26–27."
1254,L00138,"篠原 圭三郎 (1989) オビババヤスデとその近縁種の同物異名（倍足綱, ババヤスデ科）. 動物分類学会誌, (40): 43–48."
1255,L01687,"篠原 圭三郎 (1990) オーストラリア産のムカデとヤスデ. 都生研会誌, (26): 20–21."
1256,L00139,"篠原 圭三郎 (1990) 日本産フジヤスデ属の3新種. Edaphologia, (42): 21–25."
1257,L00797,"篠原 圭三郎 (1990) 日本産多足類の学名の検討 XIV. <i>Nipponobius</i>属について. Takakuwaia, (22): 1–2."
1258,L00801,"篠原 圭三郎 (1990) 多足類ミセラニイ (2) マクラギヤスデ. Takakuwaia, (22): 5–6."
1259,L00802,"篠原 圭三郎 (1990) 東亜産多足類文献目録 第46集. Takakuwaia, (22): 7–8."
1260,L00621,"篠原 圭三郎 (1990) 日本産アカムカデ属の1新種（唇足綱：メナシムカデ科）. 動物分類学会誌, (41): 62–65."
1261,L00807,"篠原 圭三郎 (1991) キシャヤスデの群遊にまぎれこんだヤスデ類. Takakuwaia, (23): 9."
1262,L00809,"篠原 圭三郎 (1991) 東亜産多足類文献目録 第47集. Takakuwaia, (23): 10–11."
1263,L01472,"篠原 圭三郎 (1991) 沖縄から初めてのミナミヤスデ. Takakuwaia, (23): 12."
1264,L01542,"篠原 圭三郎 (1991) ヤスデ綱 (倍脚綱) Diplopoda. figs 220–229, p. 67–71, 161. In: 青木 淳一 (編) 日本産土壌動物検索図説. 東海大学出版会, 神奈川. 405 figs + 201 pp. ISBN-10: 4-486-01156-2."
1265,L01544,"篠原 圭三郎 (1991) ムカデ綱 (唇脚綱) Chilopoda. figs 237–247, p. 74–79, 161. In: 青木 淳一 (編) 日本産土壌動物検索図説. 東海大学出版会, 神奈川. 405 figs + 201 pp. ISBN-10: 4-486-01156-2."
1266,L00811,"篠原 圭三郎 (1992) 多足類と共に歩む. Takakuwaia, (24): 1–4."
1267,L00841,"篠原 圭三郎 (1992) 日本産多足類の学名の検討 XV. <i>Trigoniulus lumbricinus</i>と<i>T. takakuwai</i>. Takakuwaia, (24): 43–46."
1268,L00849,"篠原 圭三郎 (1992) 東亜産多足類文献目録 第48集. Takakuwaia, (24): 99–101."
1269,L00852,"篠原 圭三郎 (1993) ボウニンアカヤスデの生活史. Takakuwaia, (25): 1–3."
1270,L00854,"篠原 圭三郎 (1993) 日本産多足類の学名の検討 XVI. <i>Dicellophilus obovatus</i>と<i>D. carniolensis</i>. Takakuwaia, (25): 9–11."
1271,L00856,"篠原 圭三郎 (1993) 東亜産多足類文献目録 第49集. Takakuwaia, (25): 19–21."
1272,L00859,"篠原 圭三郎 (1994) 日本産多足類の学名の検討 XVII. <i>Nampabius japonicus</i>と<i>Lithobius</i> (<i>M.</i>) <i>worogowensis</i>. Takakuwaia, (26): 1–2."
1273,L00860,"篠原 圭三郎 (1994) 多足類ミセラニイ (3) 多足類に付着するダニ. Takakuwaia, (26): 9–10."
1274,L00994,"篠原 圭三郎 (1994) 東亜産多足類文献目録 第50集. Takakuwaia, (26): 13–14."
1275,L00861,"篠原 圭三郎 (1995) 明治初期にDr. Dönitzが採集した<i>Parafontaria doenitzi</i> (Karsch)の基準産地の推定. Takakuwaia, (27): 1–5."
1276,L00865,"篠原 圭三郎 (1995) 東亜産多足類文献目録 第51集. Takakuwaia, (27): 9–11."
1277,L00873,"篠原 圭三郎 (1996) 哀悼・三好保徳博士. Takakuwaia, (28): 30."
1278,L00879,"篠原 圭三郎 (1996) ムカデの触角の異常と再生. Takakuwaia, (28): 37–39."
1279,L00881,"篠原 圭三郎 (1996) 東亜産多足類文献目録 第52集. Takakuwaia, (28): 41–43."
1280,L00885,"篠原 圭三郎 (1997) 村上好央氏を悼む. Takakuwaia, (29): 11–12."
1281,L00893,"篠原 圭三郎 (1997) <i>Orphnaeus</i>の属名について. Takakuwaia, (29): 22–23."
1282,L00896,"篠原 圭三郎 (1997) サキブトジムカデの属名の訂正. Takakuwaia, (29): 28."
1283,L00901,"篠原 圭三郎 (1998) 科学者と祖国 —白甲鏞先生を悼む. Takakuwaia, (30): 9–11."
1284,L00903,"篠原 圭三郎 (1998) 東亜産多足類文献目録 第54集. Takakuwaia, (30): 14–16."
1285,L01548,"篠原 圭三郎 (1999) 節足動物門多足類ムカデ綱 (唇脚綱). p. 693–709, 1034. In: 青木 淳一 (編) 日本産土壌動物－分類のための図解検索. 東海大学出版会, 神奈川. 1076 pp. ISBN-10: 4-486-01443-X."
1286,L00723,"篠原 圭三郎 (1999) マクラギヤスデの生活. インセクタリウム, 36(3): 82–86."
1287,L01560,"篠原 圭三郎 (2007) ムカデの仲間. p. 231, 233–237. In: 梅谷 献二 (編) 新版 原色図鑑 野外の毒虫と不快な虫. 全国農村教育協会, 東京."
1288,L01561,"篠原 圭三郎 (2007) ゲジの仲間. p. 238, 240. In: 梅谷 献二 (編) 新版 原色図鑑 野外の毒虫と不快な虫. 全国農村教育協会, 東京."
1289,L01562,"篠原 圭三郎 (2007) ヤスデの仲間. p. 239, 241–245. In: 梅谷 献二 (編) 新版 原色図鑑 野外の毒虫と不快な虫. 全国農村教育協会, 東京."
1290,L00722,"篠原 圭三郎・比嘉 ヨシ子 (1997) 沖縄における発光ヤスデの初記録. Edaphologia, (59): 61–62."
1291,L00342,"篠原 圭三郎・比嘉 ヨシ子・新島 渓子 (2007) ミナミヤスデ（<i>Trigoniulus corallinus</i> (Gervais)）（フトマルヤスデ目, ミナミヤスデ科）の後胚子発生. Edaphologia, (82): 9–16."
1292,L00771,"篠原 圭三郎・石井 清 (1984) 日本産多足類の学名の検討 VI. 日本産フサヤスデの属名について. Takakuwaia, (16): 1–2."
1293,L00345,"篠原 圭三郎・近藤 正樹・進藤 正男 (1996) ハガヤスデの調査データ補遺. 蟻, (20): 14–15."
1294,L00921,"篠原 圭三郎・越山 正三 (1960) 分布上注目すべき鹿児島産アオムカデ属の2種. 採集と飼育, 22(5): 154."
1295,L00897,"篠原 圭三郎・湊 宏・田辺 力 (1997) 東亜産多足類文献目録 第53集. Takakuwaia, (29): 29–31."
1296,L01288,"篠原 圭三郎・新島 渓子 (1977) キシャヤスデの大発生について. Edaphologia, (16): 4–8."
1297,L00381,"篠原 圭三郎・新島 渓子 (1982) キシャヤスデ関連資料目録. Atypus, (81): 23–29."
1298,L01057,"篠原 圭三郎・高野 光男・石井 清 (2015) 節足動物門多足亜門ムカデ綱 (唇脚綱). p. 871–910 In: 青木 淳一 (編) 日本産土壌動物 第二版－分類のための図解検索. 東海大学出版部, 神奈川. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9."
1299,L01546,"篠原 圭三郎・田辺 力 (1999) 節足動物門多足類ヤスデ綱 (倍脚綱). p. 647–683, 1033–1034. In: 青木 淳一 (編) 日本産土壌動物－分類のための図解検索. 東海大学出版会, 神奈川. 1076 pp. ISBN-10: 4-486-01443-X."
1300,L01625,"篠原 圭三郎・田辺 力・萩野 康則・西野 洋一 (1996) ムカデ・ヤスデ・エダヒゲムシ・コムカデ類 (多足上綱). p. 38–45. In: 日高 敏隆 (監) 石井 実・大谷 剛・常喜 豊 (編) 日本動物大百科 第8巻 昆虫 I. 平凡社, 東京. 190 pp."
1301,L00287,"篠原 圭三郎・田辺 力・Zoltán Korsós (2015) 節足動物門多足亜門ヤスデ綱 (倍脚綱). p. 941–984 In: 青木 淳一 (編) 日本産土壌動物 第二版－分類のための図解検索. 東海大学出版部, 神奈川. XLV + 1969 pp. ISBN-13: 978-4-486-01945-9."
1302,L00763,"篠原 圭三郎・寺田 美奈子・新島 渓子・岩波 基樹・山本 紘治・石井 清・高野 光男・桑原 幸夫 (1981) キシャヤスデの大発生観察会記録 —1980年9月大菩薩峠・柳沢峠—. Takakuwaia, (13): 3–6."
1303,L01357,白石 哲・荒井 秋晴 (1980) 陸上動物調査(2)(主に哺乳動物). p. 46–86. In: 沖縄開発庁 (編) 尖閣諸島調査報告書（学術調査編）. 244 pp.
1304,L01350,"Short M. and Vahtera V. (2017) Phylogenetic relationships of millipedes in the subclass Penicillata (Diplopoda) with a key to the genera. Journal of Natural History, 51(41–42): 1–19."
1305,L01346,"Shorter P. L., Hennen D. A. and Marek P. E. (2018) Cryptic diversity in <i>Andrognathus corticarius</i> Cope, 1869 and description of a new <i>Andrognathus</i> species from New Mexico (Diplopoda, Platydesmida, Andrognathidae). ZooKeys, 786: 19–41."
1306,L01330,"Sierwald P. and Bond J. E. (2007) Current status of the myriapod class Diplopoda (millipedes): taxonomic diversity and phylogeny. Annual Review of Entomology, 52: 401–420."
1307,L01349,"Silvestri F. (1948) Tavola sinottica dei generi dei Diplopoda Penicillata. Bollettino del Laboratorio di entomologia agraria ""Filippo Silvestri"", 8: 214–220."
1308,L01572,"Siriwut W., Edgecombe G. D., Sutcharit C. and Panha S. (2015) The centipede genus <i>Scolopendra</i> in mainland southeast Asia: molecular phylogenetics, geometric morphometrics and external morphology as tools for species delimitation. PLOS ONE, 10(9): e0139182."
1309,L01539,"Siriwut W., Edgecombe G. D., Sutcharit C., Tongkerd P. and Panha S. (2016) A taxonomic review of the centipede genus <i>Scolopendra</i> Linnaeus, 1758 (Scolopendromorpha, Scolopendridae) in mainland Southeast Asia, with description of a new species from Laos. ZooKeys, 590: 1–124."
1310,L01285,"相馬 潔 (1984) キシャヤスデは生土が好き？. Edaphologia, (30): 34."
1311,L00663,"曽田 貞滋・中野 進・Nusyirwan Hasan・Ahsol Hasyim・Syafril・中村 浩二 (2000) 西スマトラ高地の耕作地における節足動物の個体数動態. Tropics, 10(3): 463–472."
1312,L00724,"Sota T. and Tanabe T. (2010) Multiple speciation events in an arthropod with divergent evolution in sexual morphology. Proceedings of the Royal Society B: Biological Sciences, 277(1682): 689–696."
1313,L01668,"Srisonchai R., Inkhavilay K., Ngor P. B., Sutcharit C. and Likhitrakarn N. (2023) Uncovering endemism in high montane forests: two new species of millipede genus <i>Tylopus</i> Jeekel, 1968 (Diplopoda: Polydesmida: Paradoxosomatidae) from Cambodia and Laos. Tropical Natural History, Supplement, 7: 153–166."
1314,L01669,"Srisonchai R., Likhitrakarn N., Sutcharit C., Jeratthitikul E., Siriwut W., Thach P., Chhuoy S., Ngor P. B. and Panha S. (2020) A new micropolydesmoid millipede of the genus <i>Eutrichodesmus</i> Silvestri, 1910 from Cambodia, with a key to species in mainland Southeast Asia (Diplopoda, Polydesmida, Haplodesmidae). ZooKeys, 996: 59–91."
1315,L01587,"Stagl V. and Stoev P. (2005) Type specimens of the order Callipodida (Diplopoda) in the Natural History Museum in Vienna. p. 1–26. In: Naturhistorisches Museum Wien (ed.) Kataloge der wissenschaftlichen Sammlungen des Naturhistorischen Museum in Wien Band 19 Myriapoda, Heft 2. Naturhistorisches Museum Wien, Austria."
1316,L01588,"Stagl V. and Zapparoli M. (2006) Type specimens of the Lithobiomorpha (Chilopoda) in the Natural History Museum in Vienna. p. 1–49. In: Naturhistorisches Museum Wien (ed.) Kataloge der wissenschaftlichen Sammlungen des Naturhistorischen Museum in Wien Band 21 Myriapoda, Heft 3. Naturhistorisches Museum Wien, Austria."
1317,L00348,"Stoev P., Zapparoli M., Golovatch S. I., Enghoff H., Akkari N. and Barber A. (2010) Myriapods (Myriapoda) Chapter 7.2. BioRisk, 4(1): 97–130."
1318,L00826,"杉山 直人 (1992) 篠原圭三郎先生御退職に寄せて. Takakuwaia, (24): 30–31."
1319,L00140,"杉山 直人・芳賀 和夫 (1989) 筑波山周辺の倍脚類相. 菅平高原生物実験所研究報告, 10: 39–76."
1320,L00256,"須摩 靖彦・平内 好子・石井 清・石川 和男・芝 実・野村 周平・佐藤 英文・浅間 茂・石塚 小太郎・中村 修美・根来 尚・布村 昇 (2002) 福井県大野市南六呂師高原の土壌動物相. 富山市科学博物館研究報告, (25): 69–87."
1321,L00257,"須摩 靖彦・石川 和男・浅間 茂・石井 清・布村 昇 (2002) 城南公園の落葉下の土壌動物—2. 富山市科学博物館研究報告, (25): 89–94."
1322,L01263,"Szucsich N. U., Bartel D., Blanke A., Böhm A., Donath A., Fukui M., Grove S., Liu S., Macek O., Machida R., Misof B., Nakagaki Y., Podsiadlowski L., Sekiya K., Tomizuka S., von Reumont B. M., Waterhouse R. M., Walzl M., Meng G., Zhou X., Pass G. and Meusemann K. (2020) Four myriapod relatives – but who are sisters? No end to debates on relationships among the four major myriapod subgroups. BMC Evolutionary Biology, 20(144): 1–15."
1323,L01714,"平良 淳誠 (2021) 群遊するヤスデの防御臭気物質. におい・かおり環境学会誌, 52(5): 275–281."
1324,L00141,"Taira J. and Arakaki K. (2002) Secretions of <i>Chamberlinius hualienensis</i> Wang (Polydesmida: Paradoxosomatidae) during the reproductive migration stage. Applied Entomology and Zoology, 37(4): 621–624."
1325,L00725,"Taira J., Nakamura K. and Higa Y. (2003) Identification of secretory compounds from the millipede, <i>Oxidus gracilis</i> C. L. Koch (Polydesmida: Paradoxosomatidae) and their variation in different habitats. Applied Entomology and Zoology, 38(3): 401–404."
1326,L01510,"高桑 良興 (1928) ムカデ類 (Chilopoda) の呼吸につきて. 博物学雑誌, (36): 15–22."
1327,L01509,"高桑 良興 (1929) 唇足類の呼吸系(續き)及循環系(ムカデ雜究の二). 博物学雑誌, 37: 87–96."
1328,L01511,"高桑 良興 (1929) 唇足類の生殖系 (ムカデ雜究第三). 博物学雑誌, (38): 39–46."
1329,L01512,"高桑 良興 (1929) むかで雜見 (第四). 博物学雑誌, (39): 23–30."
1330,L01486,"高桑 良興 (1931) ムカデ雜見第六 (神経經). 博物学雑誌, 29(42): 1–10."
1331,L01485,"高桑 良興 (1930) ムカデ雜見第五 (咽頭の構造). 博物学雑誌, 28(40): 3–11."
1332,L01487,"高桑 良興 (1931) 唇足類雜見第七 (消化管系). 博物学雑誌, 29(44): 12–19."
1333,L01498,"高桑 良興 (1932) ムカデ雜見第八 (たかくわぢむかで Mecistocephalus takakuwai Verhoeff の外部解剖). 博物学雑誌, 30(47): 37–45."
1334,L01497,"高桑 良興 (1933) アカムカデ (<i>Orocryptops</i>) の外部解剖 (ムカデ雜見第九). 博物学雑誌, 31(49): 11–22."
1335,L01483,"高桑 良興 (1933) 日本産オホムカデ族 (Scolopendromorpha). 植物及動物, 1(10): 1457–1464."
1336,L00236,"高桑 良興 (1933) 北千島の多足類. 日本生物地理学会会報, 4(2): 133–137."
1337,L01482,"高桑 良興 (1934) 日本産ナガヅヂムカデ科 (Mecistocephalidae) [I]. 植物及動物, 2(4): 706–712."
1338,L01371,"Takakuwa Y. (1934) Neue japanische Mecistocephalidae. Annotationes Zoologicae Japonenses, 14(3): 355–363."
1339,L01503,"高桑 良興 (1934) 臺灣とマーシヤル島とに於けるムカデの三新種. 臺灣博物學會會報, 24(132): 221–225."
1340,L00279,"高桑 良興 (1934) 日本産ムカデ. 動物学雑誌, 46(551): 383–390."
1341,L00278,"高桑 良興 (1934) 一新亞科を創設せられたヤスデの一新種 <i>Niponia nodulosa</i> Verhoeff (ニホンヒラタオビヤスデ). 動物学雑誌, 46(553): 491–493."
1342,L01513,"Takakuwa Y. (1934) Sechs neue Arten der Chilopoden aus Japan. Transactions of the Sapporo Natural History Society, 13(4): 398–406."
1343,L01481,"高桑 良興 (1934) 日本産ナガヅヂムカデ科 (Mecistocephalidae) [II]. 植物及動物, 2(5): 878–884."
1344,L01504,"高桑 良興 (1934) 唇足類の一屬<i>Orphaneus</i> [sic] の二種. 臺灣博物學會會報, 24(135): 494–498."
1345,L01496,"高桑 良興 (1934) ゲヂ (<i>Thereuonema</i>) の外部解剖. 博物学雑誌, 32(52): 84–92."
1346,L00398,"高桑 良興 (1935) 日本産ムカデの三種につきて. 動物学雑誌, 47(559): 289–294."
1347,L00301,"Takakuwa Y. (1935) Über drei Arten der Chilopoden aus Japan. Annotationes Zoologicae Japonenses, 15(1): 46–53."
1348,L00395,"Takakuwa Y. (1935) Über Japanische <i>Escaryus</i>-Arten. Transactions of the Sapporo Natural History Society, 14(1): 46–50."
1349,L00397,"高桑 良興 (1935) 日本産 <i>Escaryus</i> 屬(脣足類). 動物学雑誌, 47(561): 407–411."
1350,L00396,"高桑 良興 (1935) 我國に産するフタマドヂムカデ <i>Pachymerium ferrugineum</i> C. L. Koch の形態につきて. 動物学雑誌, 47(565): 731–734."
1351,L00399,"高桑 良興 (1935) 日本産ムカデ二種. 札幌博物学会会報, 14(2): 131–135."
1352,L01505,"Takakuwa Y. (1935) Ueber neue Chilopoden aus Japan. The journal of the Natural History Society of Taiwan, 25(145): 339–343."
1353,L01495,"高桑 良興 (1935) 石ムカデ (<i>Lithobius</i> sp) 外部解剖 (ムカデ雜見第十). 博物学雑誌, 33(54): 17–25."
1354,L01494,"高桑 良興 (1935) 多足類雜談. 博物学雑誌, 33(56): 174–179."
1355,L00402,"高桑 良興 (1936) 日本産 <i>Queenslandogeophilus</i> 屬(脣足類)の種につきて. 動物学雑誌, 48(1): 1–4."
1356,L00729,"Takakuwa Y. (1936) Eine neue japanische <i>Mecistocephalus</i>-Art. The journal of the Natural History Society of Taiwan, 26(155–156): 322–323."
1357,L00731,"高桑 良興 (1936) 49對の歩肢を有する日本産ナガヅヂムカデ屬(<i>Mecistocephalus</i>)の種. 臺灣博物學會會報, 26(159): 431–434."
1358,L00400,"高桑 良興 (1936) 朝鮮と北海道より得たムカデの3新種. 動物学雑誌, 48(5): 277–280."
1359,L00401,"高桑 良興 (1936) 朝鮮及び北海道より得たるムカデ三種. 札幌博物学会会報, 14(3): 143–147."
1360,L00403,"高桑 良興 (1936) 日本産クリプトスに就いて. 札幌博物学会会報, 14(4): 236–241."
1361,L00732,"高桑 良興 (1936) マーシャル群島と滿洲とから得た脣足類の一新亞種と一新種. 臺灣博物學會會報, 26(151): 159–163."
1362,L00728,"高桑 良興 (1936) 臺灣産ナガヅチムカデの奇態なる1新種. 臺灣博物學會會報, 26(152): 215–216."
1363,L00730,"高桑 良興 (1936) 臺灣より得たるナガヅヂムカデ科に屬する1新屬2新種. 臺灣博物學會會報, 26(159): 435–439."
1364,L00420,"高桑 良興 (1937) 伊勢灣より得たSchendylidaeの1新屬1新種. 動物学雑誌, 49(1): 1–4."
1365,L01507,"高桑 良興 (1937) ナガヅヂムカデ屬で歩肢を63對有する種と65對有する種とにつきて. 臺灣博物學會會報, 27(162): 49–51."
1366,L00422,"高桑 良興 (1937) 日本に於けるアカムカデ屬<i>Otocryptops</i>の分布と1新種. 動物学雑誌, 49(6): 203–205."
1367,L00424,"高桑 良興 (1937) 日本産ツチムカデ屬<i>Geophilus</i>の種につきて. 動物学雑誌, 49(8): 282–286."
1368,L00421,"高桑 良興 (1937) 朝鮮から得たヱスカリヂムカデの1新種. 動物学雑誌, 49(9): 297–299."
1369,L00423,"高桑 良興 (1937) 日本産クヰンヂムカデの一新種につきて. 動物学雑誌, 49(11): 388–390."
1370,L00425,"高桑 良興 (1937) 日本産ムカデに就いて. 札幌博物学会会報, 15(2): 76–81."
1371,L01506,"Takakuwa Y. (1937) <i>Otostigmus</i>-Arten aus Japan. The journal of the Natural History Society of Taiwan, 27(164): 105–106."
1372,L01484,"高桑 良興 (1937) キシャヤスデ (<i>Fontaria armigera</i> Verhoeff) の外部解剖. 博物学雑誌, 35(60): 211–217."
1373,L00564,"高桑 良興 (1938) 日本産スコリヂムカデ屬（脣足類）の種. 動物学雑誌, 50(5): 235–245."
1374,L00427,"高桑 良興 (1938) 朝鮮産アカムカデ屬の1新種. 動物学雑誌, 50(6): 297–298."
1375,L00428,"高桑 良興 (1938) 日本に於けるヒトフシムカデ屬とイシムカデ屬との2・3種につきて. 動物学雑誌, 50(11): 456–461."
1376,L00426,"Takakuwa Y. (1938) Verzeichnis der Japanischen und Mandschureischen. Annotationes Zoologicae Japonenses, 17(3–4): 353–359."
1377,L01480,"高桑 良興 (1938) オホムカデ族及ヂムカデ族の檢索 [I] (附 學名, 文獻, 産地). 植物及動物, 6(12): 2023–2032."
1378,L01475,"高桑 良興 (1938) 45對歩肢を有するナガヅヂムカデの1新種. 臺灣博物學會會報, 28(172): 8–10."
1379,L01474,"高桑 良興 (1938) フヰリピン産ムカデの1新種 <i>Asanada akashii</i> n. sp. 臺灣博物學會會報, 28(175): 95–97."
1380,L01473,"高桑 良興 (1938) 再び45對歩肢を有するナガヅチムカデの1新種につきて. 臺灣博物學會會報, 28(179): 281–283."
1381,L01372,"Takakuwa Y. (1938) Eine neue japanische <i>Bothropolys</i>-Art. The journal of the Natural History Society of Taiwan, 28(182): 414–416."
1382,L01370,高桑 良興 (1939) 我國に産する<i>Bothrobolys</i>屬（脣足類）の2已知種と1新種. p. 435–442. In: 岩田 正俊 (編) 吉田博士祝賀記念誌.
1383,L00567,"高桑 良興 (1939) 本邦産ゲジムカデ屬の三種. 動物学雑誌, 51(8): 581–585."
1384,L00566,"高桑 良興 (1939) 入水鐘乳洞探檢. Acta Arachnologica, 4(4): 159–162."
1385,L01278,"高桑 良興 (1939) 沖繩諸島に於ける脣足類. Biogeographica: Transactions of the Biogeographical Society of Japan, 3(2): 123–126."
1386,L01476,"高桑 良興 (1939) オホムカデ族及ヂムカデ族の檢索 [II] (附 学名, 文獻, 産地). 植物及動物, 7(1): 51–56."
1387,L00565,"高桑 良興 (1939) 日本産イシムカデ屬の種. 札幌博物学会会報, 16(1): 28–37."
1388,L01477,"高桑 良興 (1939) 日本産イツスンムカデ屬の9種につきて. 臺灣博物學會會報, 29(188): 103–110."
1389,L00203,"Takakuwa Y. (1939) Eine neue <i>Mecistocephalus</i>-Art aus Ponape. The journal of the Natural History Society of Taiwan, 29(193): 243–244."
1390,L01199,"高桑 良興 (1939) 日本産アカムカデ屬の一新種. 動物学雑誌, 51(10): 698–700."
1391,L00143,"Takakuwa Y. (1940) Über <i>Scleroprotopus</i>-Arten (Chilopoda). Annotationes Zoologicae Japonenses, 19(1): 19–22."
1392,L00142,"高桑 良興 (1940) 倍足類の一屬 <i>Kopidoiulus</i> の一新種. 動物学雑誌, 52(7): 263–265."
1393,L01491,"高桑 良興 (1940) 秋天高原の採集漫談. 四不像, (3): 19–20."
